"Sample_Num","gene","weeks","log2_expr"
"Sample1","ACTN2","6",0
"Sample1","ACTN2","24",0
"Sample1","COL1A1","6",3.37948234134545
"Sample1","COL1A1","24",4.97750890454014
"Sample1","COL1A2","6",6.29283695333903
"Sample1","COL1A2","24",5.42441826594578
"Sample1","COL3A1","6",8.33166939227976
"Sample1","COL3A1","24",4.32668115028718
"Sample1","COL5A1","6",3.98020813973469
"Sample1","COL5A1","24",0
"Sample1","COL5A2","6",4.45700322525576
"Sample1","COL5A2","24",0
"Sample1","GATA4","6",4.63923216324928
"Sample1","GATA4","24",0
"Sample1","MYH6","6",0
"Sample1","MYH6","24",0
"Sample1","MYH7","6",3.41616416473313
"Sample1","MYH7","24",4.97750890454014
"Sample1","MYL2","6",0.621055503299739
"Sample1","MYL2","24",6.19869058566892
"Sample1","MYL3","6",1.65535182861255
"Sample1","MYL3","24",6.04054179386285
"Sample1","MYL4","6",1.52656966049778
"Sample1","MYL4","24",4.02263413214576
"Sample1","MYL6","6",9.30940359197269
"Sample1","MYL6","24",7.07103324445682
"Sample1","NOTCH1","6",4.07527590102327
"Sample1","NOTCH1","24",0
"Sample1","NOTCH2","6",4.00459127697631
"Sample1","NOTCH2","24",0
"Sample1","NPPA","6",0.343692069179019
"Sample1","NPPA","24",0
"Sample1","NPPB","6",0
"Sample1","NPPB","24",0
"Sample1","SIRT1","6",1.05311133645956
"Sample1","SIRT1","24",0
"Sample2","ACTN2","6",0
"Sample2","ACTN2","24",0
"Sample2","COL1A1","6",3.86354205117958
"Sample2","COL1A1","24",11.3949015458503
"Sample2","COL1A2","6",7.30399074546211
"Sample2","COL1A2","24",10.9979077028316
"Sample2","COL3A1","6",9.1129268390483
"Sample2","COL3A1","24",10.9054629739247
"Sample2","COL5A1","6",4.4340276746636
"Sample2","COL5A1","24",6.15037689113169
"Sample2","COL5A2","6",4.04727662789158
"Sample2","COL5A2","24",6.60426410514995
"Sample2","GATA4","6",4.6922597964719
"Sample2","GATA4","24",4.98363209678909
"Sample2","MYH6","6",0
"Sample2","MYH6","24",0
"Sample2","MYH7","6",4.09575567386806
"Sample2","MYH7","24",0
"Sample2","MYL2","6",0.885183866320351
"Sample2","MYL2","24",0
"Sample2","MYL3","6",1.70442935207648
"Sample2","MYL3","24",0
"Sample2","MYL4","6",1.09085343045111
"Sample2","MYL4","24",0
"Sample2","MYL6","6",9.5598875364318
"Sample2","MYL6","24",7.14018558950961
"Sample2","NOTCH1","6",0
"Sample2","NOTCH1","24",4.51633038682594
"Sample2","NOTCH2","6",1.270229907238
"Sample2","NOTCH2","24",0
"Sample2","NPPA","6",0
"Sample2","NPPA","24",0
"Sample2","NPPB","6",0
"Sample2","NPPB","24",0
"Sample2","SIRT1","6",0.646162657157894
"Sample2","SIRT1","24",4.98363209678909
"Sample3","ACTN2","6",0.641546029087524
"Sample3","ACTN2","24",3.68425770505893
"Sample3","COL1A1","6",8.67717698761591
"Sample3","COL1A1","24",3.15445359267987
"Sample3","COL1A2","6",7.48483094836411
"Sample3","COL1A2","24",3.15445359267987
"Sample3","COL3A1","6",8.12035194036522
"Sample3","COL3A1","24",4.07099032562593
"Sample3","COL5A1","6",6.86282329982368
"Sample3","COL5A1","24",6.80283944093511
"Sample3","COL5A2","6",4.8015208367862
"Sample3","COL5A2","24",0
"Sample3","GATA4","6",2.72268459807061
"Sample3","GATA4","24",0
"Sample3","MYH6","6",0
"Sample3","MYH6","24",2.30801131455218
"Sample3","MYH7","6",0.641546029087524
"Sample3","MYH7","24",5.81570350334807
"Sample3","MYL2","6",1.08406426478847
"Sample3","MYL2","24",8.92798531607751
"Sample3","MYL3","6",4.4036085835437
"Sample3","MYL3","24",8.11699367754698
"Sample3","MYL4","6",1.08406426478847
"Sample3","MYL4","24",6.69691190318455
"Sample3","MYL6","6",8.50547018816217
"Sample3","MYL6","24",7.16253231824146
"Sample3","NOTCH1","6",3.73584707202618
"Sample3","NOTCH1","24",6.52185166269982
"Sample3","NOTCH2","6",5.34943605171382
"Sample3","NOTCH2","24",0
"Sample3","NPPA","6",0.641546029087524
"Sample3","NPPA","24",5.02741948863444
"Sample3","NPPB","6",0
"Sample3","NPPB","24",0
"Sample3","SIRT1","6",0
"Sample3","SIRT1","24",0
"Sample4","ACTN2","6",0
"Sample4","ACTN2","24",0
"Sample4","COL1A1","6",4.1171963291633
"Sample4","COL1A1","24",4.43929068104202
"Sample4","COL1A2","6",6.61950104869938
"Sample4","COL1A2","24",3.88723280291461
"Sample4","COL3A1","6",8.89259138631104
"Sample4","COL3A1","24",5.14942196849116
"Sample4","COL5A1","6",3.28909670241999
"Sample4","COL5A1","24",6.26459272653336
"Sample4","COL5A2","6",5.69091988379553
"Sample4","COL5A2","24",0
"Sample4","GATA4","6",3.82405498366306
"Sample4","GATA4","24",0
"Sample4","MYH6","6",0
"Sample4","MYH6","24",2.98148736779826
"Sample4","MYH7","6",0.484395962502666
"Sample4","MYH7","24",5.14942196849116
"Sample4","MYL2","6",0.84639302085236
"Sample4","MYL2","24",9.41774072278108
"Sample4","MYL3","6",1.76256143004889
"Sample4","MYL3","24",9.11081213633792
"Sample4","MYL4","6",1.13553486976119
"Sample4","MYL4","24",7.31889524969831
"Sample4","MYL6","6",9.2338832680511
"Sample4","MYL6","24",8.89782428422482
"Sample4","NOTCH1","6",2.80384697272215
"Sample4","NOTCH1","24",0
"Sample4","NOTCH2","6",1.76256143004889
"Sample4","NOTCH2","24",0
"Sample4","NPPA","6",0
"Sample4","NPPA","24",4.43929068104202
"Sample4","NPPB","6",0
"Sample4","NPPB","24",0
"Sample4","SIRT1","6",3.22897256976016
"Sample4","SIRT1","24",0
"Sample5","ACTN2","6",0
"Sample5","ACTN2","24",6.19483563425304
"Sample5","COL1A1","6",1.19723635491871
"Sample5","COL1A1","24",0
"Sample5","COL1A2","6",7.99108528683591
"Sample5","COL1A2","24",3.70509321973489
"Sample5","COL3A1","6",9.57715499212651
"Sample5","COL3A1","24",4.64875303298957
"Sample5","COL5A1","6",5.2173470579038
"Sample5","COL5A1","24",3.70509321973489
"Sample5","COL5A2","6",3.32926714089552
"Sample5","COL5A2","24",0
"Sample5","GATA4","6",4.43882511317562
"Sample5","GATA4","24",0
"Sample5","MYH6","6",0
"Sample5","MYH6","24",3.70509321973489
"Sample5","MYH7","6",4.67621098135512
"Sample5","MYH7","24",4.64875303298957
"Sample5","MYL2","6",1.19723635491871
"Sample5","MYL2","24",12.669756054108
"Sample5","MYL3","6",4.04579241851409
"Sample5","MYL3","24",10.4490629892645
"Sample5","MYL4","6",2.28658548326394
"Sample5","MYL4","24",9.052201217296
"Sample5","MYL6","6",9.30960822537484
"Sample5","MYL6","24",7.91795679701472
"Sample5","NOTCH1","6",0
"Sample5","NOTCH1","24",0
"Sample5","NOTCH2","6",0
"Sample5","NOTCH2","24",0
"Sample5","NPPA","6",0
"Sample5","NPPA","24",10.114913554572
"Sample5","NPPB","6",0
"Sample5","NPPB","24",6.41442309597098
"Sample5","SIRT1","6",0
"Sample5","SIRT1","24",0
"Sample6","ACTN2","6",4.20414071678023
"Sample6","ACTN2","24",0
"Sample6","COL1A1","6",3.8149605130157
"Sample6","COL1A1","24",0
"Sample6","COL1A2","6",2.09389816258555
"Sample6","COL1A2","24",3.98276546258365
"Sample6","COL3A1","6",4.28702895733093
"Sample6","COL3A1","24",5.91269776234383
"Sample6","COL5A1","6",0
"Sample6","COL5A1","24",0
"Sample6","COL5A2","6",0
"Sample6","COL5A2","24",0
"Sample6","GATA4","6",0
"Sample6","GATA4","24",0
"Sample6","MYH6","6",5.73598242323897
"Sample6","MYH6","24",0
"Sample6","MYH7","6",6.59809717647756
"Sample6","MYH7","24",0
"Sample6","MYL2","6",6.90397822297896
"Sample6","MYL2","24",0
"Sample6","MYL3","6",10.095126656982
"Sample6","MYL3","24",3.98276546258365
"Sample6","MYL4","6",8.94361663168477
"Sample6","MYL4","24",0
"Sample6","MYL6","6",9.12346962496713
"Sample6","MYL6","24",9.0611686475523
"Sample6","NOTCH1","6",0
"Sample6","NOTCH1","24",0
"Sample6","NOTCH2","6",1.66857301647589
"Sample6","NOTCH2","24",0
"Sample6","NPPA","6",5.29031380873505
"Sample6","NPPA","24",0
"Sample6","NPPB","6",0
"Sample6","NPPB","24",0
"Sample6","SIRT1","6",0
"Sample6","SIRT1","24",0
"Sample7","ACTN2","6",0
"Sample7","ACTN2","24",0
"Sample7","COL1A1","6",9.24476816123896
"Sample7","COL1A1","24",2.4867143730307
"Sample7","COL1A2","6",8.52573612064549
"Sample7","COL1A2","24",3.35176965202408
"Sample7","COL3A1","6",8.32238788065718
"Sample7","COL3A1","24",1.34198574722862
"Sample7","COL5A1","6",6.87392390570212
"Sample7","COL5A1","24",2.02502879449152
"Sample7","COL5A2","6",5.33824611718203
"Sample7","COL5A2","24",0
"Sample7","GATA4","6",2.85399564717639
"Sample7","GATA4","24",0
"Sample7","MYH6","6",0
"Sample7","MYH6","24",0
"Sample7","MYH7","6",0
"Sample7","MYH7","24",0
"Sample7","MYL2","6",0.758729568457863
"Sample7","MYL2","24",2.4867143730307
"Sample7","MYL3","6",0.758729568457863
"Sample7","MYL3","24",1.34198574722862
"Sample7","MYL4","6",0
"Sample7","MYL4","24",1.34198574722862
"Sample7","MYL6","6",8.98582486358822
"Sample7","MYL6","24",8.82100540268464
"Sample7","NOTCH1","6",0
"Sample7","NOTCH1","24",0
"Sample7","NOTCH2","6",1.25338423580007
"Sample7","NOTCH2","24",0
"Sample7","NPPA","6",0
"Sample7","NPPA","24",2.02502879449152
"Sample7","NPPB","6",0
"Sample7","NPPB","24",0
"Sample7","SIRT1","6",0
"Sample7","SIRT1","24",0
"Sample8","ACTN2","6",5.69217608837834
"Sample8","ACTN2","24",0
"Sample8","COL1A1","6",0
"Sample8","COL1A1","24",0
"Sample8","COL1A2","6",2.33799646351502
"Sample8","COL1A2","24",4.84744577194095
"Sample8","COL3A1","6",3.92571464801066
"Sample8","COL3A1","24",5.82219477307451
"Sample8","COL5A1","6",1.59836520532364
"Sample8","COL5A1","24",0
"Sample8","COL5A2","6",0
"Sample8","COL5A2","24",0
"Sample8","GATA4","6",0
"Sample8","GATA4","24",0
"Sample8","MYH6","6",0
"Sample8","MYH6","24",3.89675621847481
"Sample8","MYH7","6",7.17986929098209
"Sample8","MYH7","24",0
"Sample8","MYL2","6",9.4774871033247
"Sample8","MYL2","24",7.12873675041537
"Sample8","MYL3","6",10.0383168264531
"Sample8","MYL3","24",4.84744577194095
"Sample8","MYL4","6",8.95378613111314
"Sample8","MYL4","24",4.84744577194095
"Sample8","MYL6","6",8.92397514129912
"Sample8","MYL6","24",7.3900485474166
"Sample8","NOTCH1","6",0
"Sample8","NOTCH1","24",0
"Sample8","NOTCH2","6",1.59836520532364
"Sample8","NOTCH2","24",0
"Sample8","NPPA","6",7.33289586554269
"Sample8","NPPA","24",6.13899872506476
"Sample8","NPPB","6",0
"Sample8","NPPB","24",0
"Sample8","SIRT1","6",0
"Sample8","SIRT1","24",0
"Sample9","ACTN2","6",0
"Sample9","ACTN2","24",0
"Sample9","COL1A1","6",1.75360453628
"Sample9","COL1A1","24",10.2329772708465
"Sample9","COL1A2","6",3.98913900736823
"Sample9","COL1A2","24",10.2042899135696
"Sample9","COL3A1","6",2.77019475495132
"Sample9","COL3A1","24",9.6181285107883
"Sample9","COL5A1","6",0.897627674279551
"Sample9","COL5A1","24",6.90049250381144
"Sample9","COL5A2","6",0.517023672064581
"Sample9","COL5A2","24",6.74982921234044
"Sample9","GATA4","6",0.282143228781498
"Sample9","GATA4","24",0
"Sample9","MYH6","6",0
"Sample9","MYH6","24",0
"Sample9","MYH7","6",0.719840555064268
"Sample9","MYH7","24",5.50544636893203
"Sample9","MYL2","6",0.282143228781498
"Sample9","MYL2","24",7.16151487082785
"Sample9","MYL3","6",1.05519565424212
"Sample9","MYL3","24",5.30389031579162
"Sample9","MYL4","6",0.719840555064268
"Sample9","MYL4","24",4.44174904700924
"Sample9","MYL6","6",9.08516171182895
"Sample9","MYL6","24",8.20071228064832
"Sample9","NOTCH1","6",0
"Sample9","NOTCH1","24",0
"Sample9","NOTCH2","6",2.85877674530819
"Sample9","NOTCH2","24",3.6833595990205
"Sample9","NPPA","6",0.282143228781498
"Sample9","NPPA","24",6.11103131238874
"Sample9","NPPB","6",0
"Sample9","NPPB","24",0
"Sample9","SIRT1","6",4.12010306395952
"Sample9","SIRT1","24",0
"Sample10","ACTN2","6",0
"Sample10","ACTN2","24",0
"Sample10","COL1A1","6",7.73365261138482
"Sample10","COL1A1","24",4.00997413891734
"Sample10","COL1A2","6",7.46645582654039
"Sample10","COL1A2","24",3.09676785471469
